elapsed_s,timestamp,raw,mv,phase,cycle_index,det_phase,event
0.000,14:54:20.545,51.0,972.0,,,unknown,
0.001,14:54:20.546,1144.0,979.0,,,unknown,
0.001,14:54:20.546,1141.0,981.0,,,unknown,
0.001,14:54:20.546,1140.0,979.0,,,unknown,
0.001,14:54:20.546,1143.0,979.0,,,unknown,
0.001,14:54:20.546,1134.0,977.0,,,unknown,
0.001,14:54:20.546,1149.0,975.0,,,unknown,
0.001,14:54:20.546,1142.0,981.0,,,unknown,
0.009,14:54:20.554,1141.0,977.0,,,unknown,
0.029,14:54:20.574,1119.0,975.0,,,unknown,
0.049,14:54:20.594,1139.0,978.0,,,unknown,
0.069,14:54:20.614,1140.0,977.0,,,unknown,
0.089,14:54:20.634,1144.0,977.0,,,unknown,
0.109,14:54:20.654,1144.0,979.0,,,unknown,
0.129,14:54:20.674,1139.0,969.0,,,unknown,
0.149,14:54:20.694,1133.0,978.0,,,unknown,
0.169,14:54:20.714,1143.0,979.0,,,unknown,
0.189,14:54:20.734,1147.0,974.0,,,unknown,
0.209,14:54:20.754,1146.0,981.0,,,unknown,
0.229,14:54:20.774,1148.0,987.0,,,unknown,
0.253,14:54:20.798,1158.0,993.0,,,unknown,
0.269,14:54:20.814,1161.0,1000.0,,,unknown,
0.289,14:54:20.834,1165.0,996.0,,,unknown,
0.309,14:54:20.854,1167.0,997.0,,,unknown,
0.329,14:54:20.874,1167.0,1000.0,,,unknown,
0.349,14:54:20.894,1175.0,1002.0,,,unknown,
0.369,14:54:20.914,1171.0,1008.0,,,unknown,
0.389,14:54:20.934,1167.0,1005.0,,,unknown,
0.409,14:54:20.954,1173.0,992.0,,,unknown,
0.429,14:54:20.974,1181.0,1000.0,,,unknown,
0.449,14:54:20.994,1170.0,1008.0,,,unknown,
0.469,14:54:21.014,1178.0,1010.0,,,unknown,
0.489,14:54:21.034,1176.0,1008.0,,,unknown,
0.509,14:54:21.054,1177.0,1009.0,,,unknown,
0.529,14:54:21.074,1178.0,1001.0,,,unknown,
0.549,14:54:21.094,1179.0,1011.0,,,unknown,
0.569,14:54:21.114,1177.0,1015.0,,,unknown,
0.589,14:54:21.134,1183.0,1000.0,,,unknown,
0.609,14:54:21.154,1177.0,1015.0,,,unknown,
0.629,14:54:21.174,1191.0,1009.0,,,unknown,
0.649,14:54:21.194,1145.0,1012.0,,,unknown,
0.669,14:54:21.214,1170.0,1008.0,,,unknown,
0.689,14:54:21.234,1178.0,1009.0,,,unknown,
0.709,14:54:21.254,1176.0,1008.0,,,unknown,
0.729,14:54:21.274,1184.0,1006.0,,,unknown,
0.749,14:54:21.294,1177.0,1014.0,,,unknown,
