elapsed_s,timestamp,raw,mv,phase,cycle_index,det_phase,event
0.018,20:55:24.090,949.0,819.0,,,unknown,
0.038,20:55:24.110,949.0,816.0,,,unknown,
0.058,20:55:24.130,953.0,818.0,,,unknown,
0.078,20:55:24.151,951.0,817.0,,,unknown,
0.098,20:55:24.170,949.0,814.0,,,unknown,
0.118,20:55:24.190,943.0,818.0,,,unknown,
0.138,20:55:24.210,939.0,819.0,,,unknown,
0.158,20:55:24.230,948.0,815.0,,,unknown,
0.178,20:55:24.250,955.0,827.0,,,unknown,
0.198,20:55:24.270,949.0,813.0,,,unknown,
0.218,20:55:24.290,948.0,821.0,,,unknown,
0.238,20:55:24.310,943.0,810.0,,,unknown,
0.258,20:55:24.330,941.0,812.0,,,unknown,
0.278,20:55:24.350,939.0,807.0,,,unknown,
0.298,20:55:24.370,938.0,822.0,,,unknown,
0.318,20:55:24.390,935.0,805.0,,,unknown,
0.338,20:55:24.410,937.0,807.0,,,unknown,
0.358,20:55:24.430,935.0,803.0,,,unknown,
0.378,20:55:24.450,933.0,805.0,,,unknown,
0.398,20:55:24.470,935.0,806.0,,,unknown,
0.418,20:55:24.490,935.0,810.0,,,unknown,
0.438,20:55:24.510,937.0,808.0,,,unknown,
0.458,20:55:24.530,940.0,809.0,,,unknown,
0.478,20:55:24.550,943.0,811.0,,,unknown,
0.498,20:55:24.570,941.0,801.0,,,unknown,
0.518,20:55:24.590,942.0,814.0,,,unknown,
0.538,20:55:24.610,944.0,812.0,,,unknown,
0.558,20:55:24.630,949.0,813.0,,,unknown,
0.578,20:55:24.650,942.0,813.0,,,unknown,
0.598,20:55:24.670,947.0,814.0,,,unknown,
0.618,20:55:24.690,947.0,815.0,,,unknown,
0.638,20:55:24.710,953.0,816.0,,,unknown,
0.658,20:55:24.730,951.0,816.0,,,unknown,
0.678,20:55:24.750,947.0,817.0,,,unknown,
0.698,20:55:24.770,953.0,818.0,,,unknown,
0.718,20:55:24.790,949.0,821.0,,,unknown,
0.738,20:55:24.810,953.0,820.0,,,unknown,
0.758,20:55:24.830,951.0,821.0,,,unknown,
0.778,20:55:24.850,1043.0,821.0,,,unknown,
