elapsed_s,timestamp,raw,mv,phase,cycle_index,det_phase,event
0.017,15:10:55.455,1176.0,1006.0,,,unknown,
0.037,15:10:55.475,1180.0,1008.0,,,unknown,
0.057,15:10:55.495,1181.0,1004.0,,,unknown,
0.077,15:10:55.515,1171.0,1002.0,,,unknown,
0.097,15:10:55.535,1171.0,1005.0,,,unknown,
0.117,15:10:55.555,1173.0,1002.0,,,unknown,
0.137,15:10:55.575,1170.0,996.0,,,unknown,
0.157,15:10:55.595,1167.0,1001.0,,,unknown,
0.177,15:10:55.616,1173.0,1000.0,,,unknown,
0.197,15:10:55.635,1167.0,1000.0,,,unknown,
0.217,15:10:55.655,1163.0,997.0,,,unknown,
0.237,15:10:55.675,1176.0,997.0,,,unknown,
0.257,15:10:55.695,1175.0,995.0,,,unknown,
0.277,15:10:55.715,1166.0,998.0,,,unknown,
0.297,15:10:55.735,1163.0,997.0,,,unknown,
0.317,15:10:55.755,1164.0,993.0,,,unknown,
0.337,15:10:55.775,1144.0,996.0,,,unknown,
0.361,15:10:55.800,1165.0,996.0,,,unknown,
0.377,15:10:55.815,1167.0,997.0,,,unknown,
0.397,15:10:55.835,1165.0,994.0,,,unknown,
0.417,15:10:55.855,1164.0,995.0,,,unknown,
0.437,15:10:55.875,1175.0,1002.0,,,unknown,
0.457,15:10:55.895,1162.0,994.0,,,unknown,
0.477,15:10:55.915,1171.0,998.0,,,unknown,
0.497,15:10:55.935,1164.0,998.0,,,unknown,
0.517,15:10:55.955,1157.0,995.0,,,unknown,
0.537,15:10:55.975,1164.0,996.0,,,unknown,
0.557,15:10:55.995,1206.0,995.0,,,unknown,
0.577,15:10:56.015,1163.0,995.0,,,unknown,
0.597,15:10:56.035,1161.0,998.0,,,unknown,
0.617,15:10:56.055,1160.0,995.0,,,unknown,
0.637,15:10:56.075,1151.0,990.0,,,unknown,
0.657,15:10:56.095,1160.0,994.0,,,unknown,
0.677,15:10:56.115,1161.0,993.0,,,unknown,
0.697,15:10:56.135,1159.0,986.0,,,unknown,
0.717,15:10:56.155,1141.0,992.0,,,unknown,
0.744,15:10:56.182,1160.0,992.0,,,unknown,
0.757,15:10:56.195,1161.0,992.0,,,unknown,
0.777,15:10:56.215,1159.0,990.0,,,unknown,
0.797,15:10:56.235,1159.0,991.0,,,unknown,
0.817,15:10:56.255,1144.0,988.0,,,unknown,
0.837,15:10:56.275,1159.0,987.0,,,unknown,
0.857,15:10:56.295,1157.0,985.0,,,unknown,
0.877,15:10:56.315,1145.0,988.0,,,unknown,
0.897,15:10:56.335,1141.0,988.0,,,unknown,
0.917,15:10:56.355,1162.0,984.0,,,unknown,
0.937,15:10:56.375,1157.0,985.0,,,unknown,
0.957,15:10:56.395,1158.0,984.0,,,unknown,
0.977,15:10:56.415,1151.0,985.0,,,unknown,
0.997,15:10:56.435,1149.0,987.0,,,unknown,
1.017,15:10:56.455,1149.0,990.0,,,unknown,
1.037,15:10:56.475,1151.0,990.0,,,unknown,
1.057,15:10:56.495,1139.0,989.0,,,unknown,
1.077,15:10:56.515,1146.0,987.0,,,unknown,
1.097,15:10:56.535,1159.0,991.0,,,unknown,
1.117,15:10:56.555,1145.0,993.0,,,unknown,
1.137,15:10:56.575,1159.0,991.0,,,unknown,
1.157,15:10:56.595,1161.0,994.0,,,unknown,
1.177,15:10:56.615,1163.0,990.0,,,unknown,
1.197,15:10:56.635,1161.0,995.0,,,unknown,
1.217,15:10:56.655,1161.0,995.0,,,unknown,
1.237,15:10:56.675,1163.0,996.0,,,unknown,
1.257,15:10:56.695,1162.0,998.0,,,unknown,
1.277,15:10:56.715,1165.0,993.0,,,unknown,
