elapsed_s,timestamp,raw,mv,phase,cycle_index,det_phase,event
0.000,14:59:51.588,27.0,967.0,,,unknown,
0.000,14:59:51.588,1055.0,966.0,,,unknown,
0.001,14:59:51.588,1129.0,967.0,,,unknown,
0.001,14:59:51.588,1132.0,968.0,,,unknown,
0.001,14:59:51.588,1131.0,976.0,,,unknown,
0.001,14:59:51.588,1135.0,972.0,,,unknown,
0.001,14:59:51.589,1139.0,974.0,,,unknown,
0.001,14:59:51.589,1141.0,975.0,,,unknown,
0.007,14:59:51.594,1141.0,978.0,,,unknown,
0.027,14:59:51.614,1077.0,982.0,,,unknown,
0.047,14:59:51.634,1146.0,981.0,,,unknown,
0.067,14:59:51.654,1143.0,981.0,,,unknown,
0.087,14:59:51.674,1149.0,981.0,,,unknown,
0.107,14:59:51.694,1149.0,983.0,,,unknown,
0.127,14:59:51.714,1149.0,992.0,,,unknown,
0.148,14:59:51.735,1151.0,988.0,,,unknown,
0.167,14:59:51.755,1148.0,986.0,,,unknown,
0.187,14:59:51.774,1157.0,989.0,,,unknown,
0.211,14:59:51.798,1158.0,995.0,,,unknown,
0.227,14:59:51.814,1159.0,990.0,,,unknown,
0.247,14:59:51.835,1159.0,993.0,,,unknown,
0.267,14:59:51.854,1161.0,998.0,,,unknown,
0.287,14:59:51.874,1161.0,996.0,,,unknown,
0.307,14:59:51.894,1159.0,995.0,,,unknown,
0.327,14:59:51.915,1132.0,997.0,,,unknown,
0.347,14:59:51.934,1160.0,995.0,,,unknown,
0.367,14:59:51.954,1161.0,997.0,,,unknown,
0.387,14:59:51.975,1164.0,996.0,,,unknown,
0.407,14:59:51.994,1163.0,996.0,,,unknown,
0.427,14:59:52.015,1165.0,994.0,,,unknown,
0.447,14:59:52.034,1164.0,997.0,,,unknown,
0.467,14:59:52.054,1165.0,998.0,,,unknown,
0.487,14:59:52.075,1165.0,997.0,,,unknown,
0.507,14:59:52.095,1165.0,998.0,,,unknown,
0.527,14:59:52.115,1167.0,1003.0,,,unknown,
0.547,14:59:52.134,1165.0,999.0,,,unknown,
0.567,14:59:52.154,1171.0,1000.0,,,unknown,
0.587,14:59:52.175,1167.0,1001.0,,,unknown,
0.607,14:59:52.195,1167.0,1001.0,,,unknown,
0.627,14:59:52.215,1171.0,1006.0,,,unknown,
0.647,14:59:52.234,1170.0,1001.0,,,unknown,
0.667,14:59:52.254,1172.0,1002.0,,,unknown,
0.687,14:59:52.274,1171.0,1002.0,,,unknown,
0.707,14:59:52.294,1169.0,1002.0,,,unknown,
0.727,14:59:52.314,1170.0,1001.0,,,unknown,
0.747,14:59:52.334,1171.0,1003.0,,,unknown,
0.767,14:59:52.354,1171.0,1001.0,,,unknown,
0.787,14:59:52.374,1172.0,1007.0,,,unknown,
0.807,14:59:52.394,1171.0,1003.0,,,unknown,
0.827,14:59:52.414,1172.0,999.0,,,unknown,
0.847,14:59:52.434,1169.0,1003.0,,,unknown,
0.867,14:59:52.454,1069.0,1003.0,,,unknown,
0.887,14:59:52.475,1171.0,1000.0,,,unknown,
0.907,14:59:52.495,1171.0,1001.0,,,unknown,
0.927,14:59:52.515,1169.0,1000.0,,,unknown,
0.947,14:59:52.535,1167.0,1001.0,,,unknown,
0.967,14:59:52.554,1167.0,999.0,,,unknown,
0.987,14:59:52.575,1165.0,999.0,,,unknown,
1.007,14:59:52.594,1167.0,996.0,,,unknown,
1.027,14:59:52.614,1165.0,998.0,,,unknown,
1.047,14:59:52.634,1163.0,999.0,,,unknown,
1.067,14:59:52.654,1163.0,996.0,,,unknown,
1.087,14:59:52.675,1162.0,996.0,,,unknown,
1.107,14:59:52.694,1163.0,995.0,,,unknown,
1.127,14:59:52.715,1161.0,996.0,,,unknown,
1.147,14:59:52.734,1161.0,993.0,,,unknown,
1.167,14:59:52.754,1163.0,994.0,,,unknown,
1.187,14:59:52.774,1159.0,994.0,,,unknown,
1.210,14:59:52.798,1161.0,993.0,,,unknown,
1.227,14:59:52.814,1159.0,993.0,,,unknown,
1.247,14:59:52.834,1159.0,993.0,,,unknown,
1.267,14:59:52.854,1160.0,992.0,,,unknown,
1.287,14:59:52.874,1157.0,988.0,,,unknown,
1.307,14:59:52.895,1157.0,990.0,,,unknown,
1.327,14:59:52.915,1157.0,993.0,,,unknown,
1.347,14:59:52.934,1159.0,989.0,,,unknown,
1.367,14:59:52.954,1159.0,991.0,,,unknown,
1.387,14:59:52.975,1159.0,992.0,,,unknown,
1.407,14:59:52.994,1159.0,993.0,,,unknown,
1.427,14:59:53.015,1135.0,993.0,,,unknown,
1.447,14:59:53.034,1160.0,992.0,,,unknown,
1.467,14:59:53.055,1161.0,992.0,,,unknown,
1.487,14:59:53.074,1159.0,992.0,,,unknown,
1.507,14:59:53.094,1157.0,989.0,,,unknown,
1.527,14:59:53.114,1149.0,986.0,,,unknown,
1.547,14:59:53.134,1158.0,998.0,,,unknown,
1.567,14:59:53.154,1158.0,989.0,,,unknown,
1.587,14:59:53.175,1160.0,987.0,,,unknown,
1.607,14:59:53.195,1157.0,990.0,,,unknown,
1.627,14:59:53.215,1157.0,994.0,,,unknown,
1.647,14:59:53.234,1174.0,989.0,,,unknown,
1.667,14:59:53.254,1157.0,990.0,,,unknown,
1.687,14:59:53.274,1157.0,988.0,,,unknown,
1.707,14:59:53.295,1151.0,988.0,,,unknown,
1.727,14:59:53.315,1151.0,993.0,,,unknown,
1.747,14:59:53.334,1151.0,983.0,,,unknown,
1.767,14:59:53.355,1151.0,985.0,,,unknown,
1.787,14:59:53.374,1149.0,986.0,,,unknown,
1.807,14:59:53.395,1157.0,985.0,,,unknown,
1.827,14:59:53.414,1150.0,985.0,,,unknown,
1.847,14:59:53.435,1149.0,984.0,,,unknown,
1.867,14:59:53.454,1149.0,984.0,,,unknown,
1.887,14:59:53.475,1148.0,982.0,,,unknown,
1.907,14:59:53.494,1146.0,983.0,,,unknown,
1.927,14:59:53.514,1147.0,983.0,,,unknown,
1.947,14:59:53.535,1149.0,983.0,,,unknown,
1.967,14:59:53.555,1149.0,983.0,,,unknown,
1.987,14:59:53.575,1149.0,982.0,,,unknown,
2.007,14:59:53.595,1149.0,983.0,,,unknown,
2.027,14:59:53.615,1148.0,980.0,,,unknown,
