elapsed_s,timestamp,raw,mv,phase,cycle_index,det_phase,event
0.018,15:10:34.095,1083.0,924.0,,,unknown,
0.038,15:10:34.115,1079.0,927.0,,,unknown,
0.058,15:10:34.135,1084.0,928.0,,,unknown,
0.078,15:10:34.155,1081.0,928.0,,,unknown,
0.098,15:10:34.175,1081.0,928.0,,,unknown,
0.118,15:10:34.195,1081.0,927.0,,,unknown,
0.138,15:10:34.215,1081.0,926.0,,,unknown,
0.158,15:10:34.235,1080.0,924.0,,,unknown,
0.178,15:10:34.255,1079.0,925.0,,,unknown,
0.198,15:10:34.275,1079.0,925.0,,,unknown,
0.218,15:10:34.295,1077.0,925.0,,,unknown,
0.238,15:10:34.315,1069.0,924.0,,,unknown,
0.258,15:10:34.335,1077.0,924.0,,,unknown,
0.278,15:10:34.355,1079.0,926.0,,,unknown,
0.298,15:10:34.375,1081.0,923.0,,,unknown,
