elapsed_s,timestamp,raw,mv,phase,cycle_index,det_phase,event
0.000,14:58:07.705,32.0,970.0,,,unknown,
0.001,14:58:07.705,1135.0,971.0,,,unknown,
0.001,14:58:07.705,1134.0,971.0,,,unknown,
0.001,14:58:07.705,1129.0,977.0,,,unknown,
0.001,14:58:07.705,1133.0,973.0,,,unknown,
0.001,14:58:07.705,1133.0,969.0,,,unknown,
0.001,14:58:07.706,1133.0,974.0,,,unknown,
0.001,14:58:07.706,1133.0,969.0,,,unknown,
0.010,14:58:07.714,1133.0,970.0,,,unknown,
0.030,14:58:07.734,1131.0,967.0,,,unknown,
0.050,14:58:07.754,1132.0,969.0,,,unknown,
0.070,14:58:07.774,1131.0,970.0,,,unknown,
0.094,14:58:07.799,1133.0,972.0,,,unknown,
0.110,14:58:07.814,1132.0,969.0,,,unknown,
0.130,14:58:07.834,1132.0,968.0,,,unknown,
0.150,14:58:07.854,1127.0,969.0,,,unknown,
0.170,14:58:07.874,1131.0,968.0,,,unknown,
0.190,14:58:07.894,1131.0,965.0,,,unknown,
0.210,14:58:07.914,1131.0,967.0,,,unknown,
0.230,14:58:07.934,1130.0,971.0,,,unknown,
0.250,14:58:07.954,1129.0,968.0,,,unknown,
0.270,14:58:07.974,1131.0,968.0,,,unknown,
0.290,14:58:07.994,1130.0,967.0,,,unknown,
0.310,14:58:08.014,1129.0,968.0,,,unknown,
0.330,14:58:08.034,1129.0,968.0,,,unknown,
0.350,14:58:08.054,1132.0,968.0,,,unknown,
0.370,14:58:08.074,1131.0,967.0,,,unknown,
0.390,14:58:08.094,1129.0,970.0,,,unknown,
0.410,14:58:08.114,1131.0,967.0,,,unknown,
0.430,14:58:08.134,1129.0,966.0,,,unknown,
0.450,14:58:08.154,1131.0,966.0,,,unknown,
0.470,14:58:08.174,1129.0,967.0,,,unknown,
0.490,14:58:08.194,1128.0,966.0,,,unknown,
0.510,14:58:08.214,1129.0,968.0,,,unknown,
0.530,14:58:08.234,1129.0,965.0,,,unknown,
0.550,14:58:08.254,1129.0,967.0,,,unknown,
0.570,14:58:08.274,1130.0,968.0,,,unknown,
0.590,14:58:08.294,1149.0,968.0,,,unknown,
0.610,14:58:08.314,1132.0,969.0,,,unknown,
0.630,14:58:08.334,1133.0,968.0,,,unknown,
0.650,14:58:08.354,1129.0,970.0,,,unknown,
0.670,14:58:08.374,1135.0,969.0,,,unknown,
0.690,14:58:08.394,1135.0,972.0,,,unknown,
0.710,14:58:08.414,1135.0,975.0,,,unknown,
0.730,14:58:08.434,1136.0,973.0,,,unknown,
0.750,14:58:08.454,1144.0,976.0,,,unknown,
0.770,14:58:08.474,1141.0,977.0,,,unknown,
0.790,14:58:08.494,1142.0,978.0,,,unknown,
0.810,14:58:08.514,1142.0,978.0,,,unknown,
0.830,14:58:08.534,1144.0,977.0,,,unknown,
0.850,14:58:08.554,1145.0,981.0,,,unknown,
0.870,14:58:08.574,1109.0,982.0,,,unknown,
0.890,14:58:08.594,1149.0,983.0,,,unknown,
0.910,14:58:08.614,1141.0,990.0,,,unknown,
0.931,14:58:08.636,1151.0,991.0,,,unknown,
0.950,14:58:08.654,1159.0,993.0,,,unknown,
0.970,14:58:08.674,1162.0,994.0,,,unknown,
0.990,14:58:08.694,1159.0,993.0,,,unknown,
1.010,14:58:08.714,1163.0,1000.0,,,unknown,
1.030,14:58:08.734,1165.0,998.0,,,unknown,
1.050,14:58:08.754,1166.0,999.0,,,unknown,
1.070,14:58:08.774,1166.0,999.0,,,unknown,
1.094,14:58:08.798,1171.0,999.0,,,unknown,
