elapsed_s,timestamp,raw,mv,phase,cycle_index
0.019,21:51:17.390,1096.0,941.0,inhale,1
0.019,21:51:17.391,1094.0,941.0,inhale,1
0.019,21:51:17.391,1095.0,941.0,inhale,1
0.019,21:51:17.391,1102.0,944.0,inhale,1
0.019,21:51:17.391,1095.0,940.0,inhale,1
0.019,21:51:17.391,1096.0,941.0,inhale,1
0.019,21:51:17.391,1104.0,941.0,inhale,1
0.019,21:51:17.391,1097.0,945.0,inhale,1
0.019,21:51:17.391,1094.0,945.0,inhale,1
0.019,21:51:17.391,1094.0,940.0,inhale,1
0.019,21:51:17.391,1093.0,939.0,inhale,1
0.019,21:51:17.391,1092.0,943.0,inhale,1
0.020,21:51:17.392,1093.0,939.0,inhale,1
0.020,21:51:17.392,1091.0,938.0,inhale,1
0.020,21:51:17.392,1091.0,938.0,inhale,1
0.020,21:51:17.392,1096.0,937.0,inhale,1
0.020,21:51:17.392,1096.0,935.0,inhale,1
0.020,21:51:17.392,1092.0,939.0,inhale,1
0.020,21:51:17.392,1096.0,940.0,inhale,1
0.020,21:51:17.392,1091.0,944.0,inhale,1
0.020,21:51:17.392,1096.0,940.0,inhale,1
0.040,21:51:17.412,1103.0,947.0,inhale,1
0.062,21:51:17.434,1093.0,939.0,inhale,1
0.084,21:51:17.456,1096.0,940.0,inhale,1
0.106,21:51:17.478,1097.0,942.0,inhale,1
0.128,21:51:17.500,1099.0,948.0,inhale,1
0.150,21:51:17.522,1095.0,941.0,inhale,1
0.174,21:51:17.546,1099.0,942.0,inhale,1
0.194,21:51:17.566,1098.0,944.0,inhale,1
0.217,21:51:17.589,1097.0,943.0,inhale,1
0.238,21:51:17.610,1098.0,943.0,inhale,1
0.260,21:51:17.632,1099.0,939.0,inhale,1
0.282,21:51:17.654,1104.0,941.0,inhale,1
0.304,21:51:17.676,1096.0,943.0,inhale,1
0.326,21:51:17.698,1100.0,939.0,inhale,1
0.348,21:51:17.720,1100.0,941.0,inhale,1
0.370,21:51:17.742,1099.0,945.0,inhale,1
0.393,21:51:17.765,1101.0,944.0,inhale,1
0.414,21:51:17.786,1104.0,945.0,inhale,1
0.436,21:51:17.808,1100.0,948.0,inhale,1
0.459,21:51:17.831,1106.0,949.0,inhale,1
0.480,21:51:17.852,1115.0,950.0,inhale,1
0.503,21:51:17.874,1109.0,952.0,inhale,1
0.525,21:51:17.897,1109.0,952.0,inhale,1
0.547,21:51:17.919,1111.0,954.0,inhale,1
0.568,21:51:17.940,1105.0,955.0,inhale,1
0.590,21:51:17.962,1115.0,959.0,inhale,1
0.614,21:51:17.986,1120.0,960.0,inhale,1
0.635,21:51:18.007,1119.0,960.0,inhale,1
0.656,21:51:18.028,1125.0,965.0,inhale,1
0.678,21:51:18.050,1125.0,962.0,inhale,1
0.700,21:51:18.072,1124.0,964.0,inhale,1
0.722,21:51:18.094,1126.0,962.0,inhale,1
0.744,21:51:18.116,1125.0,964.0,inhale,1
0.766,21:51:18.138,1126.0,972.0,inhale,1
0.791,21:51:18.163,1129.0,971.0,inhale,1
0.810,21:51:18.182,1127.0,967.0,inhale,1
0.833,21:51:18.205,1129.0,969.0,inhale,1
0.855,21:51:18.227,1129.0,970.0,inhale,1
0.877,21:51:18.248,1130.0,969.0,inhale,1
0.898,21:51:18.270,1131.0,969.0,inhale,1
0.920,21:51:18.292,1137.0,975.0,inhale,1
0.942,21:51:18.314,1137.0,974.0,inhale,1
0.964,21:51:18.336,1132.0,973.0,inhale,1
0.986,21:51:18.358,1136.0,974.0,inhale,1
1.008,21:51:18.380,1139.0,976.0,inhale,1
1.030,21:51:18.402,1139.0,987.0,inhale,1
1.052,21:51:18.424,1141.0,975.0,inhale,1
1.074,21:51:18.446,1138.0,981.0,inhale,1
1.096,21:51:18.468,1143.0,976.0,inhale,1
1.118,21:51:18.490,1132.0,978.0,inhale,1
1.141,21:51:18.513,1143.0,978.0,inhale,1
1.162,21:51:18.534,1131.0,979.0,inhale,1
1.185,21:51:18.556,1139.0,980.0,inhale,1
1.207,21:51:18.579,1143.0,980.0,inhale,1
1.229,21:51:18.601,1145.0,981.0,inhale,1
1.250,21:51:18.622,1145.0,979.0,inhale,1
1.272,21:51:18.644,1147.0,988.0,inhale,1
1.294,21:51:18.666,1150.0,983.0,inhale,1
1.316,21:51:18.688,1147.0,985.0,inhale,1
1.338,21:51:18.710,1145.0,984.0,inhale,1
1.360,21:51:18.732,1150.0,983.0,inhale,1
1.382,21:51:18.754,1144.0,989.0,inhale,1
1.404,21:51:18.776,1150.0,978.0,inhale,1
1.426,21:51:18.798,1154.0,988.0,inhale,1
1.448,21:51:18.820,1152.0,987.0,inhale,1
1.470,21:51:18.842,1155.0,984.0,inhale,1
1.493,21:51:18.864,1152.0,985.0,inhale,1
1.515,21:51:18.887,1150.0,990.0,exhale,1
1.537,21:51:18.909,1149.0,981.0,exhale,1
1.558,21:51:18.930,1154.0,990.0,exhale,1
1.580,21:51:18.952,1156.0,990.0,exhale,1
1.603,21:51:18.975,1156.0,990.0,exhale,1
1.625,21:51:18.997,1158.0,994.0,exhale,1
1.646,21:51:19.018,1157.0,992.0,exhale,1
1.669,21:51:19.041,1157.0,990.0,exhale,1
