elapsed_s,timestamp,raw,mv,phase,cycle_index,det_phase,event
0.018,20:37:17.487,925.0,800.0,,,unknown,
0.037,20:37:17.506,939.0,807.0,,,unknown,
0.057,20:37:17.526,925.0,801.0,,,unknown,
0.077,20:37:17.546,927.0,802.0,,,unknown,
0.097,20:37:17.566,935.0,804.0,,,unknown,
0.117,20:37:17.586,927.0,803.0,,,unknown,
0.137,20:37:17.606,943.0,810.0,,,unknown,
0.157,20:37:17.626,932.0,808.0,,,unknown,
0.177,20:37:17.646,941.0,801.0,,,unknown,
0.197,20:37:17.666,926.0,798.0,,,unknown,
0.217,20:37:17.686,927.0,802.0,,,unknown,
0.237,20:37:17.706,935.0,802.0,,,unknown,
0.257,20:37:17.726,940.0,803.0,,,unknown,
0.277,20:37:17.746,941.0,805.0,,,unknown,
0.297,20:37:17.766,935.0,806.0,,,unknown,
0.317,20:37:17.786,937.0,804.0,,,unknown,
0.337,20:37:17.806,933.0,803.0,,,unknown,
0.357,20:37:17.826,933.0,808.0,,,unknown,
0.377,20:37:17.846,935.0,807.0,,,unknown,
0.397,20:37:17.866,936.0,803.0,,,unknown,
0.417,20:37:17.886,935.0,805.0,,,unknown,
0.438,20:37:17.907,927.0,816.0,,,unknown,
0.457,20:37:17.926,934.0,797.0,,,unknown,
0.477,20:37:17.946,933.0,807.0,,,unknown,
0.497,20:37:17.966,937.0,803.0,,,unknown,
0.517,20:37:17.986,935.0,807.0,,,unknown,
0.537,20:37:18.006,937.0,807.0,,,unknown,
0.557,20:37:18.026,927.0,804.0,,,unknown,
0.577,20:37:18.046,937.0,807.0,,,unknown,
0.597,20:37:18.067,937.0,807.0,,,unknown,
0.620,20:37:18.089,933.0,803.0,,,unknown,
0.637,20:37:18.107,932.0,803.0,,,unknown,
0.657,20:37:18.126,919.0,803.0,,,unknown,
0.677,20:37:18.146,940.0,800.0,,,unknown,
0.697,20:37:18.166,923.0,803.0,,,unknown,
0.717,20:37:18.186,926.0,803.0,,,unknown,
0.737,20:37:18.206,987.0,802.0,,,unknown,
0.757,20:37:18.226,927.0,799.0,,,unknown,
0.781,20:37:18.250,925.0,800.0,,,unknown,
0.797,20:37:18.266,931.0,798.0,,,unknown,
0.817,20:37:18.286,946.0,800.0,,,unknown,
0.837,20:37:18.306,931.0,801.0,,,unknown,
0.857,20:37:18.326,923.0,791.0,,,unknown,
0.877,20:37:18.346,917.0,804.0,,,unknown,
0.897,20:37:18.366,921.0,795.0,,,unknown,
0.917,20:37:18.386,925.0,807.0,,,unknown,
0.937,20:37:18.406,915.0,801.0,,,unknown,
0.957,20:37:18.426,921.0,789.0,,,unknown,
0.977,20:37:18.446,917.0,792.0,,,unknown,
0.997,20:37:18.466,917.0,793.0,,,unknown,
1.017,20:37:18.486,919.0,794.0,,,unknown,
1.037,20:37:18.506,922.0,794.0,,,unknown,
1.057,20:37:18.526,916.0,797.0,,,unknown,
1.077,20:37:18.546,921.0,791.0,,,unknown,
1.097,20:37:18.566,909.0,795.0,,,unknown,
1.117,20:37:18.586,919.0,793.0,,,unknown,
1.137,20:37:18.606,957.0,792.0,,,unknown,
1.157,20:37:18.626,935.0,795.0,,,unknown,
1.177,20:37:18.646,919.0,792.0,,,unknown,
1.197,20:37:18.666,909.0,794.0,,,unknown,
1.217,20:37:18.686,920.0,790.0,,,unknown,
1.237,20:37:18.706,919.0,795.0,,,unknown,
1.257,20:37:18.726,917.0,790.0,,,unknown,
1.277,20:37:18.746,919.0,796.0,,,unknown,
1.297,20:37:18.766,924.0,796.0,,,unknown,
1.317,20:37:18.786,915.0,794.0,,,unknown,
1.337,20:37:18.806,917.0,795.0,,,unknown,
1.357,20:37:18.826,927.0,798.0,,,unknown,
1.377,20:37:18.846,941.0,801.0,,,unknown,
1.397,20:37:18.866,927.0,799.0,,,unknown,
1.417,20:37:18.886,933.0,797.0,,,unknown,
1.437,20:37:18.906,931.0,798.0,,,unknown,
1.457,20:37:18.926,932.0,800.0,,,unknown,
1.477,20:37:18.946,931.0,798.0,,,unknown,
1.497,20:37:18.966,927.0,803.0,,,unknown,
1.517,20:37:18.986,851.0,799.0,,,unknown,
1.537,20:37:19.006,925.0,800.0,,,unknown,
1.557,20:37:19.026,987.0,808.0,,,unknown,
1.577,20:37:19.046,919.0,798.0,,,unknown,
1.597,20:37:19.066,927.0,802.0,,,unknown,
1.617,20:37:19.086,922.0,799.0,,,unknown,
1.637,20:37:19.106,921.0,797.0,,,unknown,
1.657,20:37:19.126,925.0,801.0,,,unknown,
1.677,20:37:19.146,920.0,794.0,,,unknown,
1.697,20:37:19.166,919.0,795.0,,,unknown,
1.717,20:37:19.186,919.0,796.0,,,unknown,
1.737,20:37:19.206,915.0,797.0,,,unknown,
1.757,20:37:19.226,923.0,795.0,,,unknown,
1.781,20:37:19.250,917.0,791.0,,,unknown,
1.797,20:37:19.266,911.0,799.0,,,unknown,
1.817,20:37:19.286,923.0,786.0,,,unknown,
1.837,20:37:19.306,967.0,798.0,,,unknown,
1.857,20:37:19.326,915.0,792.0,,,unknown,
1.877,20:37:19.346,921.0,791.0,,,unknown,
1.897,20:37:19.366,917.0,790.0,,,unknown,
1.917,20:37:19.386,917.0,796.0,,,unknown,
1.937,20:37:19.406,918.0,787.0,,,unknown,
1.957,20:37:19.426,914.0,787.0,,,unknown,
1.977,20:37:19.446,915.0,790.0,,,unknown,
1.997,20:37:19.466,928.0,786.0,,,unknown,
2.017,20:37:19.486,911.0,788.0,,,unknown,
2.037,20:37:19.506,907.0,789.0,,,unknown,
2.057,20:37:19.526,911.0,782.0,,,unknown,
2.077,20:37:19.546,909.0,789.0,,,unknown,
2.097,20:37:19.566,909.0,785.0,,,unknown,
2.117,20:37:19.586,903.0,786.0,,,unknown,
2.137,20:37:19.606,883.0,785.0,,,unknown,
2.157,20:37:19.626,909.0,784.0,,,unknown,
2.177,20:37:19.646,907.0,790.0,,,unknown,
2.197,20:37:19.666,916.0,784.0,,,unknown,
2.217,20:37:19.686,909.0,785.0,,,unknown,
2.237,20:37:19.706,911.0,788.0,,,unknown,
2.257,20:37:19.726,909.0,785.0,,,unknown,
2.277,20:37:19.746,916.0,785.0,,,unknown,
2.297,20:37:19.766,907.0,783.0,,,unknown,
2.317,20:37:19.786,908.0,785.0,,,unknown,
2.337,20:37:19.806,915.0,781.0,,,unknown,
2.357,20:37:19.826,916.0,790.0,,,unknown,
2.377,20:37:19.846,903.0,770.0,,,unknown,
2.397,20:37:19.866,910.0,781.0,,,unknown,
2.417,20:37:19.886,907.0,780.0,,,unknown,
2.437,20:37:19.906,906.0,771.0,,,unknown,
2.457,20:37:19.926,894.0,782.0,,,unknown,
2.477,20:37:19.946,909.0,783.0,,,unknown,
2.497,20:37:19.966,905.0,779.0,,,unknown,
2.517,20:37:19.986,901.0,786.0,,,unknown,
2.537,20:37:20.006,907.0,779.0,,,unknown,
2.557,20:37:20.026,903.0,782.0,,,unknown,
2.577,20:37:20.046,905.0,772.0,,,unknown,
2.597,20:37:20.066,911.0,784.0,,,unknown,
2.617,20:37:20.086,905.0,772.0,,,unknown,
2.639,20:37:20.108,907.0,780.0,,,unknown,
2.657,20:37:20.126,913.0,780.0,,,unknown,
2.677,20:37:20.146,904.0,778.0,,,unknown,
2.697,20:37:20.166,900.0,779.0,,,unknown,
2.717,20:37:20.186,907.0,777.0,,,unknown,
2.737,20:37:20.206,919.0,778.0,,,unknown,
2.757,20:37:20.226,894.0,777.0,,,unknown,
2.781,20:37:20.250,891.0,782.0,,,unknown,
2.797,20:37:20.266,887.0,777.0,,,unknown,
2.817,20:37:20.286,902.0,775.0,,,unknown,
2.837,20:37:20.306,902.0,774.0,,,unknown,
2.857,20:37:20.326,893.0,780.0,,,unknown,
2.877,20:37:20.346,892.0,774.0,,,unknown,
2.897,20:37:20.366,906.0,776.0,,,unknown,
2.917,20:37:20.386,937.0,784.0,,,unknown,
2.937,20:37:20.406,893.0,776.0,,,unknown,
2.957,20:37:20.426,909.0,780.0,,,unknown,
2.977,20:37:20.446,895.0,778.0,,,unknown,
2.997,20:37:20.466,903.0,776.0,,,unknown,
3.017,20:37:20.486,903.0,788.0,,,unknown,
3.039,20:37:20.508,903.0,782.0,,,unknown,
3.057,20:37:20.526,906.0,781.0,,,unknown,
3.077,20:37:20.546,905.0,783.0,,,unknown,
3.097,20:37:20.566,915.0,782.0,,,unknown,
3.117,20:37:20.586,911.0,799.0,,,unknown,
3.137,20:37:20.606,907.0,787.0,,,unknown,
3.157,20:37:20.626,913.0,785.0,,,unknown,
3.177,20:37:20.646,917.0,786.0,,,unknown,
3.197,20:37:20.666,910.0,787.0,,,unknown,
3.217,20:37:20.686,924.0,773.0,,,unknown,
3.237,20:37:20.706,921.0,788.0,,,unknown,
3.257,20:37:20.726,909.0,789.0,,,unknown,
3.277,20:37:20.746,917.0,782.0,,,unknown,
3.297,20:37:20.766,921.0,790.0,,,unknown,
3.317,20:37:20.786,905.0,792.0,,,unknown,
3.337,20:37:20.806,917.0,791.0,,,unknown,
3.357,20:37:20.826,917.0,804.0,,,unknown,
3.377,20:37:20.846,919.0,791.0,,,unknown,
3.397,20:37:20.866,919.0,788.0,,,unknown,
3.417,20:37:20.886,906.0,793.0,,,unknown,
3.437,20:37:20.906,917.0,793.0,,,unknown,
3.457,20:37:20.926,917.0,788.0,,,unknown,
3.477,20:37:20.946,917.0,795.0,,,unknown,
3.497,20:37:20.966,925.0,793.0,,,unknown,
3.517,20:37:20.986,918.0,791.0,,,unknown,
3.537,20:37:21.006,919.0,795.0,,,unknown,
3.557,20:37:21.026,924.0,795.0,,,unknown,
3.577,20:37:21.046,921.0,792.0,,,unknown,
3.597,20:37:21.066,927.0,795.0,,,unknown,
3.618,20:37:21.087,1163.0,796.0,,,unknown,
3.637,20:37:21.106,917.0,793.0,,,unknown,
3.657,20:37:21.126,919.0,797.0,,,unknown,
3.677,20:37:21.146,923.0,794.0,,,unknown,
3.697,20:37:21.166,921.0,796.0,,,unknown,
3.717,20:37:21.186,933.0,794.0,,,unknown,
3.737,20:37:21.206,915.0,796.0,,,unknown,
3.757,20:37:21.226,939.0,797.0,,,unknown,
3.781,20:37:21.250,922.0,796.0,,,unknown,
3.797,20:37:21.266,925.0,795.0,,,unknown,
3.817,20:37:21.286,923.0,792.0,,,unknown,
3.837,20:37:21.307,923.0,795.0,,,unknown,
3.857,20:37:21.326,920.0,795.0,,,unknown,
3.877,20:37:21.346,921.0,795.0,,,unknown,
3.897,20:37:21.366,916.0,794.0,,,unknown,
3.917,20:37:21.386,990.0,792.0,,,unknown,
3.937,20:37:21.406,915.0,792.0,,,unknown,
3.957,20:37:21.426,920.0,790.0,,,unknown,
3.977,20:37:21.446,911.0,789.0,,,unknown,
3.997,20:37:21.466,921.0,789.0,,,unknown,
4.017,20:37:21.486,915.0,787.0,,,unknown,
4.037,20:37:21.506,905.0,780.0,,,unknown,
4.057,20:37:21.526,914.0,792.0,,,unknown,
4.077,20:37:21.546,905.0,787.0,,,unknown,
4.097,20:37:21.566,909.0,785.0,,,unknown,
4.117,20:37:21.586,907.0,787.0,,,unknown,
4.137,20:37:21.606,909.0,788.0,,,unknown,
4.157,20:37:21.626,901.0,785.0,,,unknown,
4.177,20:37:21.646,904.0,788.0,,,unknown,
4.197,20:37:21.666,915.0,780.0,,,unknown,
4.217,20:37:21.686,911.0,783.0,,,unknown,
4.237,20:37:21.706,942.0,771.0,,,unknown,
4.257,20:37:21.726,907.0,793.0,,,unknown,
4.277,20:37:21.746,903.0,783.0,,,unknown,
4.297,20:37:21.766,907.0,789.0,,,unknown,
4.317,20:37:21.786,910.0,787.0,,,unknown,
4.337,20:37:21.806,913.0,785.0,,,unknown,
4.357,20:37:21.826,907.0,783.0,,,unknown,
4.377,20:37:21.846,901.0,789.0,,,unknown,
